form.health_centre_information.capacity.number_consultation_rooms,form.health_centre_information.capacity.number_inpatient_beds,form.health_centre_information.capacity.number_maternity_beds,form.health_centre_information.group_number_employed.list_community_health_officer.cho_number_in_post,form.health_centre_information.group_number_employed.list_community_health_officer.cho_number_present_at_visit,form.health_centre_information.group_number_employed.list_community_health_technician.cht_number_in_post,form.health_centre_information.group_number_employed.list_community_health_technician.cht_number_present_at_visit,form.health_centre_information.group_number_employed.list_community_health_assistant.cha_number_in_post,form.health_centre_information.group_number_employed.list_community_health_assistant.cha_number_present_at_visit,form.health_centre_information.group_number_employed.list_community_midwives.cm_number_in_post,form.health_centre_information.group_number_employed.list_community_midwives.cm_number_present_at_visit,form.health_centre_information.group_number_employed.list_sechn.sechn_number_in_post,form.health_centre_information.group_number_employed.list_sechn.sechn_number_present_at_visit,form.health_centre_information.group_number_employed.list_laboratory_technicians.lab_tech_number_in_post,form.health_centre_information.group_number_employed.list_laboratory_technicians.lab_tech_number_present_at_visit,form.health_centre_information.group_number_employed.list_mch_aides.mch_aides_number_in_post,form.health_centre_information.group_number_employed.list_mch_aides.mch_aides_number_present_at_visit,form.health_centre_information.group_number_employed.list_cleaner_porter.cleaner_porter_number_in_post,form.health_centre_information.group_number_employed.list_cleaner_porter.cleaner_porter_number_present_at_visit,form.health_centre_information.group_number_employed.list_other.other_number_in_post,form.health_centre_information.group_number_employed.list_other.other_number_present_at_visit,form.consultations.head_count.month_1,form.consultations.head_count.month_2,form.consultations.head_count.month_3,form.consultations.head_count.month_4,form.consultations.general_outpatient.month_1,form.consultations.general_outpatient.month_2,form.consultations.general_outpatient.month_3,form.consultations.general_outpatient.month_4,form.consultations.deliveries.month_1,form.consultations.deliveries.month_2,form.consultations.deliveries.month_3,form.consultations.deliveries.month_4,form.consultations.pent_vaccines.month_1,form.consultations.pent_vaccines.month_2,form.consultations.pent_vaccines.month_3,form.consultations.head_count.monthly_average_head_counts,form.consultations.general_outpatient.monthly_average_general_outpatient,form.consultations.deliveries.monthly_average_deliveries,form.consultations.pent_vaccines.monthly_average_pent_vaccines,form.ql_human_resources.score_human_resources,form.ql_information_education_communication.score_information_education_communication,form.ql_surveillance.score_surveillance,form.ql_triage_and_early_recognition.score_triage_and_early_recognition,form.ql_chw.score_chw,form.ql_isolation_physical_distancing.score_isolation,form.grp_infection_prevention_and_control.ql_ppe.score_infection_prevention_and_control_ppe,form.grp_infection_prevention_and_control.ql_ppe_plan.score_infection_prevention_and_control_ppe_plan,form.grp_infection_prevention_and_control.ql_waste_collection_and_disposal.score_infection_prevention_and_control_waste_collection_and_disposal,form.grp_infection_prevention_and_control.ql_water_sanitation_and_hygiene.score_infection_prevention_and_control_water_sanitation_and_hygiene,form.grp_infection_prevention_and_control.ql_disinfection_and_sterilization.score_infection_prevention_and_control_disinfection_and_sterilization,form.grp_infection_prevention_and_control.score_infection_prevention_and_control
1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,288.0,243.0,283.0,141.0,189.0,145.0,145.0,90.0,11.0,7.0,16.0,2.0,12.0,11.0,26.0,238.75,142.25,9.0,12.25,2.5,1.0,3.0,1.5,1.0,2.0,4.5,2.5,2.0,0.5,1.5,11.0
3.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,268.0,218.0,277.0,319.0,163.0,150.0,197.0,175.0,11.0,6.0,13.0,15.0,10.0,13.0,22.0,270.5,171.25,11.25,14.0,2.0,7.0,4.0,3.0,4.5,3.0,7.0,4.0,0.0,0.5,3.0,14.5
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,319.0,326.0,244.0,227.0,179.0,157.0,123.0,108.0,8.0,13.0,13.0,14.0,8.0,17.0,6.0,279.0,141.75,12.0,9.5,4.0,7.0,3.0,4.0,4.5,3.0,6.0,4.0,1.0,0.5,3.5,15.0
1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,545.0,858.0,699.0,1220.0,200.0,216.0,220.0,200.0,30.0,27.0,25.0,27.0,17.0,16.0,17.0,830.5,209.0,27.25,20.0,5.0,7.0,4.0,5.0,5.0,4.0,4.0,1.0,2.5,2.0,0.5,10.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,171.0,166.0,139.0,136.0,118.0,103.0,93.0,103.0,13.0,10.0,12.0,14.0,8.0,5.0,8.0,153.0,104.25,12.25,8.0,1.0,6.0,3.0,1.5,0.5,0.0,6.5,0.5,2.5,2.0,2.0,13.5
3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1840.0,2330.0,2309.0,1658.0,1257.0,1197.0,1182.0,803.0,16.0,16.0,16.0,19.0,61.0,18.0,48.0,2034.25,1109.75,16.75,41.0,2.0,4.0,3.0,0.5,2.0,3.0,1.5,2.0,2.0,1.0,0.5,7.0
1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,293.0,129.0,257.0,231.0,175.0,67.0,108.0,89.0,7.0,8.0,14.0,4.0,18.0,15.0,27.0,227.5,109.75,8.25,18.25,2.0,2.0,1.0,1.0,2.0,1.5,2.0,2.0,2.0,1.0,0.0,7.0
1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,481.0,355.0,264.0,223.0,57.0,50.0,40.0,28.0,12.0,11.0,9.0,8.0,6.0,12.0,12.0,330.75,43.75,10.0,10.5,4.0,5.0,3.0,0.5,3.0,1.5,8.0,1.5,3.0,1.0,0.0,13.5
4.0,6.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,8.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,880.0,1050.0,911.0,652.0,352.0,544.0,657.0,250.0,40.0,41.0,96.0,28.0,0.0,70.0,52.0,873.25,450.75,51.25,30.5,2.0,6.0,2.5,3.5,2.5,0.0,0.5,0.5,1.5,2.0,1.5,6.0
1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,329.0,286.0,128.0,189.0,92.0,115.0,91.0,38.0,11.0,11.0,4.0,10.0,5.0,4.0,16.0,233.0,84.0,9.0,8.0,3.5,6.0,4.0,4.5,1.0,3.5,4.0,2.5,3.5,2.0,3.0,15.0
2.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,492.0,537.0,486.0,524.0,396.0,392.0,291.0,254.0,11.0,7.0,10.0,11.0,12.0,13.0,13.0,509.75,333.25,9.75,13.25,5.0,7.0,3.5,5.0,3.0,4.0,8.5,4.0,4.0,2.5,4.0,23.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,349.0,382.0,331.0,383.0,194.0,158.0,175.0,183.0,10.0,12.0,11.0,13.0,11.0,10.0,10.0,361.25,177.5,11.5,10.25,2.0,7.0,4.0,5.0,3.5,4.0,5.5,4.0,4.0,1.0,4.0,18.5
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,787.0,821.0,539.0,525.0,84.0,77.0,82.0,55.0,13.0,10.0,17.0,8.0,13.0,6.0,5.0,668.0,74.5,12.0,7.75,1.0,5.0,4.0,1.0,1.5,2.5,5.5,0.5,1.0,0.5,0.0,7.5
1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,4.0,0.0,388.0,153.0,180.0,183.0,133.0,30.0,21.0,55.0,18.0,10.0,14.0,14.0,17.0,18.0,12.0,226.0,59.75,14.0,16.5,0.5,1.0,2.0,1.5,0.0,3.0,1.0,0.5,1.0,0.5,0.5,3.5
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,156.0,102.0,122.0,103.0,122.0,101.0,102.0,145.0,5.0,6.0,4.0,6.0,8.0,7.0,6.0,120.75,117.5,5.25,6.25,2.5,2.0,4.0,0.0,2.5,2.0,1.5,1.0,0.0,2.0,0.5,5.0
1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,540.0,468.0,0.0,338.0,380.0,271.0,0.0,186.0,8.0,11.0,15.0,15.0,19.0,18.0,18.0,336.5,209.25,12.25,16.5,2.0,7.0,3.0,1.0,1.5,0.0,5.5,1.5,1.0,1.5,0.5,10.0
2.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,10.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,818.0,865.0,889.0,680.0,316.0,281.0,217.0,167.0,15.0,20.0,23.0,13.0,30.0,29.0,31.0,813.0,245.25,17.75,25.75,2.5,6.0,2.0,3.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,6.0
2.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,1.0,1.0,422.0,429.0,469.0,443.0,295.0,279.0,312.0,288.0,25.0,24.0,26.0,30.0,20.0,27.0,22.0,440.75,293.5,26.25,22.25,2.0,1.0,4.0,0.5,0.5,2.0,3.0,0.5,0.5,0.5,0.0,4.5
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,4.0,1.0,288.0,434.0,486.0,414.0,309.0,241.0,325.0,280.0,6.0,12.0,11.0,9.0,14.0,12.0,13.0,405.5,288.75,9.5,12.75,1.5,7.0,4.0,1.0,3.5,1.5,5.0,2.0,2.0,1.0,0.0,10.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,350.0,300.0,290.0,323.0,164.0,211.0,173.0,190.0,12.0,13.0,11.0,11.0,10.0,16.0,12.0,315.75,184.5,11.75,9.5,3.0,7.0,4.0,4.0,4.5,2.5,8.0,2.0,1.5,3.0,1.0,15.5
1.0,10.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,1231.0,1090.0,1257.0,1428.0,628.0,520.0,736.0,523.0,15.0,20.0,17.0,10.0,15.0,20.0,18.0,1251.5,601.75,15.5,16.75,1.5,7.0,3.5,4.5,1.5,4.0,4.5,0.0,3.0,2.5,3.5,13.5
1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,6.0,259.0,432.0,306.0,392.0,168.0,163.0,162.0,174.0,18.0,0.0,15.0,5.0,10.0,11.0,12.0,347.25,166.75,9.5,11.5,4.5,6.0,4.0,2.5,0.5,2.5,6.0,0.5,4.0,4.0,1.0,15.5
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,895.0,856.0,240.0,549.0,62.0,35.0,12.0,150.0,10.0,11.0,8.0,11.0,10.0,9.0,14.0,635.0,64.75,10.0,13.25,2.0,4.0,2.5,0.5,0.5,1.5,5.0,2.5,3.0,2.0,2.5,15.0
1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,260.0,240.0,223.0,213.0,115.0,111.0,106.0,151.0,7.0,9.0,5.0,10.0,19.0,11.0,11.0,234.0,120.75,7.75,11.5,2.0,2.0,4.0,2.0,2.5,3.5,5.5,1.5,1.0,4.0,0.0,12.0
2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,415.0,365.0,400.0,240.0,300.0,260.0,470.0,350.0,15.0,16.0,9.0,8.0,6.0,11.0,8.0,355.0,345.0,12.0,9.5,3.0,3.0,1.5,4.0,4.0,4.0,2.0,0.5,0.0,2.5,0.5,5.5
1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,414.0,377.0,493.0,310.0,94.0,77.0,94.0,82.0,3.0,4.0,4.0,7.0,11.0,7.0,5.0,398.5,86.75,4.5,7.25,2.0,5.0,2.0,1.5,3.0,1.5,7.0,3.0,2.0,0.0,1.5,13.5
1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,298.0,221.0,319.0,225.0,145.0,136.0,127.0,93.0,7.0,4.0,5.0,7.0,13.0,6.0,9.0,265.75,125.25,5.75,8.75,2.0,5.0,4.0,2.0,3.0,3.5,4.0,0.5,2.0,2.0,2.5,11.0
1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,394.0,432.0,340.0,320.0,386.0,180.0,167.0,148.0,22.0,20.0,16.0,10.0,14.0,17.0,11.0,371.5,220.25,17.0,13.75,2.0,3.0,2.0,3.0,0.5,2.5,0.5,1.5,3.0,1.0,1.5,7.5
2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,305.0,260.0,299.0,150.0,616.0,482.0,519.0,237.0,12.0,16.0,17.0,3.0,10.0,8.0,6.0,253.5,463.5,12.0,7.25,1.0,2.0,3.0,1.5,3.5,3.0,3.5,1.0,1.5,2.0,0.0,8.0
2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1249.0,1355.0,1361.0,1104.0,747.0,1048.0,965.0,861.0,25.0,24.0,20.0,10.0,22.0,22.0,23.0,1267.25,905.25,19.75,21.25,1.5,5.0,2.5,0.0,2.0,1.0,2.0,0.5,1.0,2.5,1.5,7.5
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,728.0,560.0,617.0,492.0,341.0,335.0,361.0,251.0,20.0,19.0,14.0,23.0,19.0,13.0,19.0,599.25,322.0,19.0,15.75,2.0,4.0,4.0,2.0,1.5,1.0,6.0,0.5,2.0,2.5,1.5,12.5
2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,602.0,595.0,786.0,402.0,274.0,245.0,242.0,154.0,30.0,26.0,26.0,14.0,25.0,21.0,22.0,596.25,228.75,24.0,21.0,2.0,5.0,3.0,1.0,2.0,0.0,6.0,2.0,2.0,1.5,0.0,11.5
2.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2261.0,2234.0,1724.0,1942.0,369.0,387.0,305.0,200.0,23.0,12.0,19.0,15.0,21.0,20.0,17.0,2040.25,315.25,17.25,18.25,2.5,5.0,3.0,1.5,1.5,3.0,5.5,1.5,2.5,1.5,0.5,11.5
2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,405.0,411.0,621.0,261.0,169.0,151.0,222.0,145.0,19.0,15.0,15.0,9.0,17.0,18.0,12.0,424.5,171.75,14.5,14.25,3.5,5.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,0.5,9.5
1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,203.0,320.0,291.0,349.0,123.0,104.0,142.0,207.0,5.0,11.0,11.0,10.0,10.0,10.0,12.0,290.75,144.0,9.25,10.75,4.0,7.0,3.0,5.0,0.5,4.0,7.0,4.0,1.0,0.0,4.0,16.0
1.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,604.0,658.0,625.0,579.0,169.0,124.0,137.0,124.0,6.0,11.0,11.0,9.0,9.0,10.0,10.0,616.5,138.5,9.25,9.75,5.0,7.0,4.0,4.5,5.0,3.0,9.0,4.0,4.0,4.0,4.0,25.0
1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1311.0,547.0,274.0,282.0,298.0,327.0,189.0,176.0,15.0,16.0,20.0,22.0,23.0,17.0,31.0,603.5,247.5,18.25,22.25,3.0,7.0,3.0,2.0,5.0,3.0,3.0,0.5,2.0,3.0,1.0,9.5
2.0,7.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,325.0,379.0,353.0,297.0,263.0,287.0,231.0,208.0,16.0,12.0,19.0,19.0,16.0,16.0,17.0,338.5,247.25,16.5,16.25,3.0,0.0,3.0,1.5,2.5,1.5,7.5,0.0,2.5,3.5,0.0,13.5
3.0,12.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,493.0,832.0,480.0,346.0,277.0,466.0,376.0,249.0,15.0,16.0,16.0,13.0,25.0,24.0,19.0,537.75,342.0,15.0,20.0,2.0,0.0,2.5,1.5,2.5,3.5,2.5,0.0,2.0,1.0,1.0,6.5
1.0,5.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,6.0,2.0,0.0,0.0,8.0,2.0,1.0,1.0,2.0,1.0,769.0,635.0,685.0,646.0,676.0,538.0,602.0,541.0,19.0,14.0,20.0,22.0,48.0,25.0,35.0,683.75,589.25,18.75,32.75,1.5,5.0,3.0,4.5,2.5,3.0,0.5,1.0,2.5,2.5,3.0,9.5
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,661.0,367.0,641.0,509.0,327.0,263.0,286.0,291.0,18.0,17.0,18.0,17.0,18.0,16.0,24.0,544.5,291.75,17.5,19.75,2.0,4.0,2.0,3.0,2.5,2.0,4.5,2.0,2.5,2.0,1.0,12.0
1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,321.0,336.0,214.0,303.0,134.0,198.0,150.0,243.0,15.0,15.0,15.0,15.0,12.0,12.0,15.0,293.5,181.25,15.0,13.5,4.0,7.0,4.0,2.5,5.0,1.0,2.5,0.0,0.5,1.0,1.0,5.0
2.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,125.0,195.0,178.0,408.0,125.0,174.0,127.0,408.0,20.0,24.0,22.0,17.0,25.0,22.0,23.0,226.5,208.5,20.75,22.5,2.5,6.0,3.5,3.0,0.5,3.0,3.5,2.5,2.0,1.0,2.0,11.0
2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,631.0,890.0,591.0,604.0,325.0,359.0,180.0,269.0,21.0,23.0,24.0,21.0,38.0,32.0,34.0,679.0,283.25,22.25,33.75,2.5,2.0,4.0,0.5,2.0,2.0,3.0,1.0,1.0,3.0,1.0,9.0
3.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,301.0,226.0,352.0,149.0,155.0,120.0,140.0,97.0,25.0,26.0,20.0,10.0,23.0,17.0,15.0,257.0,128.0,20.25,19.5,3.0,2.0,2.0,0.0,1.0,2.5,1.0,0.0,1.5,0.5,0.0,3.0
2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,986.0,914.0,1063.0,955.0,715.0,777.0,785.0,759.0,13.0,13.0,14.0,12.0,20.0,19.0,23.0,979.5,759.0,13.0,18.5,1.5,5.0,2.0,3.0,1.5,1.0,8.5,1.0,3.0,2.5,1.0,16.0
2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,443.0,515.0,555.0,524.0,266.0,245.0,236.0,261.0,18.0,16.0,18.0,17.0,17.0,17.0,18.0,509.25,252.0,17.25,17.25,4.5,6.0,4.0,2.0,3.0,2.0,9.0,2.0,1.5,3.0,0.0,15.5
